"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-17","11.41",",,W",,,"0.04",",,W,2400","0.7",",,W","1.2",",,W","32","H,,S","39",",,W","24",",,W","  250",",,W","  230",",,W",,,"21.0",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-18","9.84",",,W",,,"0.03",",,W,2400","0.7",",,W","1.2",",,W","20","H,,S","24",",,W","12",",,W","  260",",,W","  250",",,W",,,"21.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-19","13.65",",,W",,,"0.01",",,W,2400","0.3",",,W","1.2",",,W","22","H,,S","33",",,W","16",",,W","  210",",,W","  220",",,W",,,"28.0",",,W","38.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-20","9.84",",,W",,,"0.08",",,W,2400","1.1",",,W","0.0","T,,W","29","H,,S","35",",,W","16",",,W","  210",",,W","  250",",,W",,,"21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-21","11.41",",,W",,,"0.00","T,,W,2400","0.3",",,W","1.2",",,W","13","H,,S","16",",,W","4",",,W","   40",",,W","   30",",,W",,,"21.9",",,W","25.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-22","3.58",",,W",,,"0.00","T,,W,2400","0.3",",,W","1.2",",,W","6","H,,S","11",",,W","1",",,W","   30",",,W","   30",",,W",,,"10.1",",,W","14.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-23","5.82",",,W",,,"0.04",",,W,2400","1.3",",,W","1.2",",,W","10","H,,S","15",",,W","6",",,W","  310",",,W","  320",",,W",,,"15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-24","17.45",",,W",,,"0.00","T,,W,2400","0.1",",,W","2.0",",,W","8","H,,S","18",",,W","1",",,W","  180",",,W","  190",",,W",,,"38.9",",,W","49.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-25","18.79",",,W",,,"0.20",",,W,2400","3.1",",,W","1.2",",,W","19","H,,S","25",",,W","11",",,W","  190",",,W","  180",",,W",,,"31.1",",,W","44.1",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-26","14.99",",,W",,,"0.01",",,W,2400","0.3",",,W","2.0",",,W","11","H,,S","31",",,W","3",",,W","  200",",,W","  200",",,W",,,"30.0",",,W","45.0",",,W",,,,,,,,,,,,,"    1",",,W",,
